model,accuracy,macro_f1,weighted_f1,classification_time_seconds,text_source
Logistic Regression,0.845,0.8421226859514654,0.8451065671869828,0.0001354000014543999,preprocessed_text
SVM,0.835,0.8319370527870439,0.8351134424893687,0.04932879999978468,preprocessed_text
DummyClassifier,0.475,0.4743560862056019,0.4769317413831945,0.00016709999908925965,preprocessed_text
Transformer (DistilBERT),0.85,0.841621792841305,0.846721571111815,4.849505600001066,preprocessed_text
Logistic Regression,0.83,0.8243075651095495,0.8287350144687887,0.00019869999960064888,augmented_text
SVM,0.83,0.8255336617405583,0.8294417077175698,0.053133100000195554,augmented_text
DummyClassifier,0.475,0.4743560862056019,0.4769317413831945,0.00016700000014679972,augmented_text
Transformer (DistilBERT),0.865,0.8584571832979476,0.8627176220806794,4.919160899999042,augmented_text
